ImageNo,Starting index for psnr 1,2,3,4,5,6
1,27.740477,28.330953,28.393903,28.457716,28.450887,28.468259
2,29.795233,30.818201,31.083711,31.201221,31.208142,31.211926
3,32.57884,34.802449,35.441389,35.60734,35.679635,35.694004
4,29.362648,30.269919,30.411122,30.481881,30.489483,30.490715
5,27.614791,28.186436,28.295072,28.310823,28.301069,28.316613
6,28.925453,29.729737,29.863666,29.913624,30.105997,30.093322
7,32.806561,35.192341,35.607405,35.701489,35.723,35.742727
8,25.732866,26.083816,26.131255,26.136382,26.174023,26.165413
9,32.413496,34.528232,34.740039,34.79397,34.836291,34.820985
10,32.260144,34.279803,34.4922,34.660563,34.723316,34.713706
11,29.904596,30.947411,31.0416,31.056866,31.047436,31.034469
12,32.577584,34.79504,34.933326,34.999486,35.561731,35.597509
13,26.005657,26.382324,26.393426,26.392859,26.419441,26.416939
14,29.163169,30.019398,30.355245,30.396803,30.399939,30.384745
15,29.427856,30.345482,30.663394,30.845456,31.23721,31.391435
16,31.259887,32.772093,33.368449,33.47288,33.458405,33.460606
17,30.471857,34.182108,34.531689,34.633455,34.752699,34.749725
18,27.446578,30.334402,30.359654,30.396822,30.40244,30.442208
19,28.326701,30.572781,30.661655,30.649523,30.643222,30.629533
20,28.848461,33.364351,34.075627,34.181508,34.169377,34.178635
21,29.511653,30.833674,30.963032,30.97664,30.964383,30.956104
22,31.008521,32.587645,32.873407,32.899942,32.88021,32.858146
23,34.186213,35.872285,36.284108,36.374443,36.351053,36.329244
24,27.827802,29.643201,29.752312,29.749616,29.766579,29.768063